CHARIEZ;70000;1
CHARMES ST VALBERT;70120;1
CHARMOILLE;70000;1
CHASSEY LES MONTBOZON;70230;1
CHASSEY LES SCEY;70360;1
CHATEAU LAMBERT;70440;1
CHATENEY;70240;1
CHATENOIS;70240;1
CHAUMERCENNE;70140;1
CHAUVIREY LE CHATEL;70500;1
CHAUVIREY LE VIEIL;70500;1
CHAUX LA LOTIERE;70190;1
CHAUX LES PORT;70170;1
CHAVANNE;70400;1
CHEMILLY;70360;1
CHENEBIER;70400;1
CHENEVREY ET MOROGNE;70150;1
CHEVIGNEY;70140;1
CHOYE;70700;1
CINTREY;70120;1
CIREY;70190;1
CITERS;70300;1
CITEY;70700;1
CLAIREGOUTTE;70200;1
CLANS;70000;1
COGNIERES;70230;1
COISEVAUX;70400;1
COLOMBE LES BITHAINE;70200;1
COLOMBE LES VESOUL;70000;1
COLOMBIER;70000;1
COLOMBOTTE;70240;1
COMBEAUFONTAINE;70120;1
COMBERJON;70000;1
CONFLANDEY;70170;1
CONFLANS SUR LANTERNE;70800;1
CONFRACOURT;70120;1
CONTREGLISE;70160;1
CORBENAY;70320;1
LA CORBIERE;70300;1
CORCELLES;70400;1
CORDONNET;70190;1
CORNOT;70120;1
CORRAVILLERS;70310;1
CORRE;70500;1
LA COTE;70200;1
COULEVON;70000;1
COURCHATON;70110;1
COURCUIRE;70150;1
COURMONT;70400;1
COURTESOULT ET GATEY;70600;1
COUTHENANS;70400;1
CRESANCEY;70100;1
LA CREUSE;70240;1
CREVANS CHAPELLE GRANGES;70400;1
CREVENEY;70240;1
CROMARY;70190;1
CUBRY LES FAVERNEY;70160;1
CUBRY LES SOING;70130;1
CUGNEY;70700;1
CULT;70150;1
CUVE;70800;1
DAMBENOIT LES COLOMBE;70200;1
DAMPIERRE LES CONFLANS;70800;1
DAMPIERRE SUR LINOTTE;70230;1
DAMPIERRE SUR SALON;70180;1
DAMPVALLEY LES COLOMBE;70000;1
DAMPVALLEY ST PANCRAS;70210;1
DELAIN;70180;1
DEMANGEVELLE;70210;1
LA DEMIE;70000;1
DENEVRE;70180;1
ECHAVANNE;70400;1
ECHENANS SOUS MONT VAUDOI;70400;1
ECHENOZ LA MELINE;70000;1
ECHENOZ LE SEC;70000;1
ECHEVANNE;70100;1
ECROMAGNY;70270;1
ECUELLE;70600;1
EHUNS;70300;1
EQUEVILLEY;70160;1
ERREVET;70400;1
ESBOZ BREST;70300;1
ESMOULIERES;70310;1
ESMOULINS;70100;1
ESPRELS;70110;1
ESSERTENNE ET CECEY;70100;1
ETOBON;70400;1
ETRELLES ET MONTBLEUSE;70700;1
ETROITE FONTAINE;70110;1
ETUZ;70150;1
FAHY LES AUTREY;70100;1
FALLON;70110;1
FAUCOGNEY ET LA MER;70310;1
FAVERNEY;70160;1
FAYMONT;70200;1
FEDRY;70120;1
FERRIERES LES RAY;70130;1
FERRIERES LES SCEY;70360;1
LES FESSEY;70310;1
FILAIN;70230;1
FLAGY;70000;1
FLEUREY LES FAVERNEY;70160;1
FLEUREY LES LAVONCOURT;70120;1
FLEUREY LES ST LOUP;70800;1
FONDREMAND;70190;1
FONTAINE LES LUXEUIL;70800;1
LES FONTENIS;70190;1
FONTENOIS LA VILLE;70210;1
FONTENOIS LES MONTBOZON;70230;1
FOUCHECOURT;70160;1
FOUGEROLLES;70220;1
FOUVENT LE BAS;70600;1
FOUVENT ST ANDOCHE;70600;1
FRAHIER ET CHATEBIER;70400;1
FRANCALMONT;70800;1
FRANCHEVELLE;70200;1
FRANCOURT;70180;1
FRAMONT;70600;1
FRASNE LE CHATEAU;70700;1
FREDERIC FONTAINE;70200;1
FRESNE ST MAMES;70130;1
FRESSE;70270;1
FRETIGNEY VELLOREILLE;70130;1
FROIDECONCHE;70300;1
FROIDETERRE;70200;1
FROTEY LES LURE;70200;1
FROTEY LES VESOUL;70000;1
GENEVREUILLE;70240;1
GENEVREY;70240;1
GEORFANS;70110;1
GERMIGNEY;70100;1
GEVIGNEY ET MERCEY;70500;1
GEZIER ET FONTENELAY;70700;1
GIREFONTAINE;70210;1
GONVILLARS;70400;1
GOUHENANS;70110;1
GOURGEON;70120;1
GRAMMONT;70110;1
GRANDECOURT;70120;1
GRANDVELLE ET LE PERRENOT;70190;1
GRANGES LA VILLE;70400;1
GRANGES LE BOURG;70400;1
GRATTERY;70170;1
GRAY;70100;1
GRAY LA VILLE;70100;1
GREUCOURT;70130;1
GY;70700;1
LE HAUT DU THEM CHATEAU L;70440;1
HAUTEVELLE;70800;1
HERICOURT;70400;1
HUGIER;70150;1
HURECOURT;70210;1
HYET;70190;1
IGNY;70700;1
JASNEY;70800;1
JONVELLE;70500;1
JUSSEY;70500;1
LAMBREY;70500;1
LANTENOT;70200;1
LA LANTERNE LES ARMONTS;70270;1
LARIANS ET MUNANS;70230;1
LARRET;70600;1
LAVIGNEY;70120;1
LAVONCOURT;70120;1
LEFFOND;70600;1
LIEFFRANS;70190;1
LIEUCOURT;70140;1
LIEVANS;70240;1
LINEXERT;70200;1
LOEUILLEY;70100;1
LOMONT;70200;1
LONGEVELLE;70110;1
LA LONGINE;70310;1
